ident,type,origin,destination,departure,estimated_arrival_time
DAL474,A21N,Seattle-Tacoma Intl ( KSEA ),Boston Logan Intl ( KBOS ),Wed 04:43PM PDT,Thu 12:06AM EDT
DAL478,B739,Hartsfield-Jackson Intl ( KATL ),Portland Intl ( KPDX ),Wed 08:32PM EDT,Wed 10:15PM PDT
DAL48,A333,John F Kennedy Intl ( KJFK ),Amsterdam Schiphol ( AMS / EHAM ),Wed 08:29PM EDT,Thu 07:46AM CET
DAL489,B738,Seattle-Tacoma Intl ( KSEA ),Raleigh-Durham Intl ( KRDU ),Wed 04:03PM PDT,Wed 11:12PM EDT
DAL493,A321,Hartsfield-Jackson Intl ( KATL ),Denver Intl ( KDEN ),Wed 09:05PM EDT,Wed 09:59PM MDT
DAL498,B752,Hartsfield-Jackson Intl ( KATL ),San Francisco Int'l ( KSFO ),Wed 06:23PM EDT,Wed 08:15PM PDT
DAL50,A332,Salt Lake City Intl ( KSLC ),London Heathrow ( LHR / EGLL ),Wed 06:24PM MDT,Thu 09:40AM GMT
DAL500,A21N,Hartsfield-Jackson Intl ( KATL ),Los Angeles Intl ( KLAX ),Wed 07:02PM EDT,Wed 08:28PM PDT
DAL502,A320,Fort Lauderdale Intl ( KFLL ),Hartsfield-Jackson Intl ( KATL ),Wed 09:44PM EDT,Wed 11:09PM EDT
DAL506,A21N,Miami Intl ( KMIA ),Seattle-Tacoma Intl ( KSEA ),Wed 06:22PM EDT,Wed 09:54PM PDT
DAL509,B739,Detroit Metro Wayne Co ( KDTW ),San Francisco Int'l ( KSFO ),Wed 08:48PM EDT,Wed 10:34PM PDT
DAL534,B763,Daniel K Inouye Intl ( PHNL ),Salt Lake City Intl ( KSLC ),Wed 11:15AM HST,Wed 08:53PM MDT
DAL535,A333,Kahului ( OGG / PHOG ),Hartsfield-Jackson Intl ( KATL ),Wed 04:32PM HST,Thu 06:28AM EDT
DAL537,A319,Hartsfield-Jackson Intl ( KATL ),Reagan National ( KDCA ),Wed 10:32PM EDT,Wed 11:44PM EDT
DAL54,A359,Hartsfield-Jackson Intl ( KATL ),Murtala Mohammed Int'l ( LOS / DNMM ),Wed 04:35PM EDT,Thu 07:34AM WAT
DAL541,BCS3,Seattle-Tacoma Intl ( KSEA ),Washington Dulles Intl ( KIAD ),Wed 04:18PM PDT,Wed 11:23PM EDT
DAL545,A21N,Hartsfield-Jackson Intl ( KATL ),San Francisco Int'l ( KSFO ),Wed 09:26PM EDT,Wed 11:08PM PDT
DAL56,A333,Salt Lake City Intl ( KSLC ),Amsterdam Schiphol ( AMS / EHAM ),Wed 05:23PM MDT,Thu 09:07AM CET
DAL560,B739,Seattle-Tacoma Intl ( KSEA ),Hartsfield-Jackson Intl ( KATL ),Wed 05:03PM PDT,Wed 11:55PM EDT
DAL565,B739,Detroit Metro Wayne Co ( KDTW ),Seattle-Tacoma Intl ( KSEA ),Wed 08:32PM EDT,Wed 10:03PM PDT
DAL571,A21N,Boston Logan Intl ( KBOS ),San Diego Intl ( KSAN ),Wed 06:02PM EDT,Wed 09:07PM PDT
DAL574,A320,Minneapolis/St Paul Intl ( KMSP ),Sacramento Intl ( KSMF ),Wed 06:43PM CDT,Wed 08:18PM PDT
DAL58,A339,Boston Logan Intl ( KBOS ),London Heathrow ( LHR / EGLL ),Wed 08:38PM EDT,Thu 06:51AM GMT
DAL60,A333,Rio de Janeiro/Galeao Intl ( GIG / SBGL ),Hartsfield-Jackson Intl ( KATL ),Wed 09:56PM -03,Thu 06:00AM EDT
DAL604,A21N,Cancun Int'l ( CUN / MMUN ),Seattle-Tacoma Intl ( KSEA ),Wed 04:42PM EST,Wed 08:43PM PDT
DAL61,A333,Hartsfield-Jackson Intl ( KATL ),Rio de Janeiro/Galeao Intl ( GIG / SBGL ),Wed 09:39PM EDT,Thu 07:40AM -03
DAL614,A21N,Cancun Int'l ( CUN / MMUN ),Los Angeles Intl ( KLAX ),Wed 06:11PM EST,Wed 08:55PM PDT
DAL622,A321,Austin-Bergstrom Intl ( KAUS ),Los Angeles Intl ( KLAX ),Wed 09:45PM CDT,Wed 10:33PM PDT
DAL64,A359,Auckland ( AKL / NZAA ),Los Angeles Intl ( KLAX ),Thu 02:08PM NZDT,Thu 05:50AM PDT
DAL654,B739,Hartsfield-Jackson Intl ( KATL ),San Jose Int'l ( KSJC ),Wed 07:39PM EDT,Wed 09:25PM PDT
DAL66,A339,Hartsfield-Jackson Intl ( KATL ),Leonardo da Vinci Int'l (Fiumicino Int'l) ( FCO / LIRF ),Wed 07:47PM EDT,Thu 10:08AM CET
DAL660,A321,Hartsfield-Jackson Intl ( KATL ),Salt Lake City Intl ( KSLC ),Wed 07:40PM EDT,Wed 09:24PM MDT
DAL667,A332,John F Kennedy Intl ( KJFK ),San Francisco Int'l ( KSFO ),Wed 08:19PM EDT,Wed 10:41PM PDT
DAL670,B763,John F Kennedy Intl ( KJFK ),San Francisco Int'l ( KSFO ),Wed 05:55PM EDT,Wed 08:58PM PDT
DAL674,B739,Minneapolis/St Paul Intl ( KMSP ),Indianapolis Intl ( KIND ),Wed 09:16PM CDT,Wed 11:22PM EDT
DAL68,A359,Taiwan Taoyuan Int'l ( TPE / RCTP ),Seattle-Tacoma Intl ( KSEA ),Thu 10:17AM CST,Thu 05:22AM PDT
DAL682,B739,Hartsfield-Jackson Intl ( KATL ),Sacramento Intl ( KSMF ),Wed 08:36PM EDT,Wed 10:11PM PDT
DAL684,A21N,John F Kennedy Intl ( KJFK ),Portland Intl ( KPDX ),Wed 07:31PM EDT,Wed 09:47PM PDT
DAL687,B738,Hartsfield-Jackson Intl ( KATL ),Spokane Intl ( KGEG ),Wed 08:08PM EDT,Wed 09:40PM PDT
DAL688,A21N,John F Kennedy Intl ( KJFK ),Seattle-Tacoma Intl ( KSEA ),Wed 08:02PM EDT,Wed 10:08PM PDT
DAL69,A359,Seattle-Tacoma Intl ( KSEA ),Taiwan Taoyuan Int'l ( TPE / RCTP ),Wed 05:14PM PDT,Thu 07:32PM CST
DAL692,B738,Los Angeles Intl ( KLAX ),Austin-Bergstrom Intl ( KAUS ),Wed 07:07PM PDT,Wed 11:33PM CDT
DAL694,A21N,Detroit Metro Wayne Co ( KDTW ),Los Angeles Intl ( KLAX ),Wed 09:15PM EDT,Wed 10:51PM PDT
DAL697,A21N,Salt Lake City Intl ( KSLC ),John F Kennedy Intl ( KJFK ),Wed 06:21PM MDT,Thu 12:26AM EDT
DAL7,A359,Los Angeles Intl ( KLAX ),Tokyo Int'l (Haneda) ( HND / RJTT ),Wed 11:17AM PDT,Thu 02:43PM JST
DAL700,A321,Detroit Metro Wayne Co ( KDTW ),San Diego Intl ( KSAN ),Wed 10:38PM EDT,Thu 12:00AM PDT
DAL702,A21N,Salt Lake City Intl ( KSLC ),Boston Logan Intl ( KBOS ),Wed 06:55PM MDT,Thu 12:38AM EDT
DAL704,B738,Hartsfield-Jackson Intl ( KATL ),Gowen Field ( KBOI ),Wed 08:26PM EDT,Wed 10:45PM MDT
DAL707,A332,John F Kennedy Intl ( KJFK ),Los Angeles Intl ( KLAX ),Wed 08:27PM EDT,Wed 10:54PM PDT
DAL709,A21N,John F Kennedy Intl ( KJFK ),San Diego Intl ( KSAN ),Wed 07:37PM EDT,Wed 10:13PM PDT
DAL710,BCS3,LaGuardia ( KLGA ),Denver Intl ( KDEN ),Wed 07:46PM EDT,Wed 09:57PM MDT
DAL714,B739,Hartsfield-Jackson Intl ( KATL ),Seattle-Tacoma Intl ( KSEA ),Wed 07:53PM EDT,Wed 10:05PM PDT
DAL716,BCS3,Denver Intl ( KDEN ),LaGuardia ( KLGA ),Wed 06:51PM MDT,Wed 11:44PM EDT
DAL718,A21N,Los Angeles Intl ( KLAX ),Orlando Intl ( KMCO ),Wed 04:00PM PDT,Wed 11:12PM EDT
DAL72,A333,Hartsfield-Jackson Intl ( KATL ),Amsterdam Schiphol ( AMS / EHAM ),Wed 06:20PM EDT,Thu 07:39AM CET
DAL731,B752,Hartsfield-Jackson Intl ( KATL ),San Diego Intl ( KSAN ),Wed 07:10PM EDT,Wed 08:25PM PDT
DAL733,A321,Fort Lauderdale Intl ( KFLL ),Minneapolis/St Paul Intl ( KMSP ),Wed 08:34PM EDT,Wed 10:51PM CDT
DAL74,A339,Hartsfield-Jackson Intl ( KATL ),Amsterdam Schiphol ( AMS / EHAM ),Wed 09:33PM EDT,Thu 10:01AM CET
DAL740,A21N,John F Kennedy Intl ( KJFK ),Seattle-Tacoma Intl ( KSEA ),Wed 05:03PM EDT,Wed 08:05PM PDT
DAL743,B739,Hartsfield-Jackson Intl ( KATL ),Sacramento Intl ( KSMF ),Wed 06:34PM EDT,Wed 08:25PM PDT
DAL745,A21N,Fort Lauderdale Intl ( KFLL ),Salt Lake City Intl ( KSLC ),Wed 06:29PM EDT,Wed 09:14PM MDT
DAL756,B739,Minneapolis/St Paul Intl ( KMSP ),San Francisco Int'l ( KSFO ),Wed 07:08PM CDT,Wed 08:45PM PDT
DAL757,A321,Hartsfield-Jackson Intl ( KATL ),Phoenix Sky Harbor Intl ( KPHX ),Wed 08:07PM EDT,Wed 08:57PM MST
DAL761,A321,Hartsfield-Jackson Intl ( KATL ),Ontario Intl ( KONT ),Wed 08:11PM EDT,Wed 09:25PM PDT
DAL763,A321,Hartsfield-Jackson Intl ( KATL ),Los Angeles Intl ( KLAX ),Wed 08:23PM EDT,Wed 09:42PM PDT
DAL769,A21N,Tampa Intl ( KTPA ),Los Angeles Intl ( KLAX ),Wed 07:53PM EDT,Wed 09:44PM PDT
DAL771,B763,John F Kennedy Intl ( KJFK ),Los Angeles Intl ( KLAX ),Wed 05:36PM EDT,Wed 08:14PM PDT
DAL776,B738,Miami Intl ( KMIA ),Boston Logan Intl ( KBOS ),Wed 09:41PM EDT,Thu 12:25AM EDT
DAL778,A21N,John F Kennedy Intl ( KJFK ),Harry Reid Intl ( KLAS ),Wed 07:49PM EDT,Wed 10:09PM PDT
DAL786,B752,Reagan National ( KDCA ),Seattle-Tacoma Intl ( KSEA ),Wed 05:06PM EDT,Wed 08:04PM PDT
DAL793,A321,Hartsfield-Jackson Intl ( KATL ),Harry Reid Intl ( KLAS ),Wed 10:08PM EDT,Wed 11:08PM PDT
DAL798,A21N,John F Kennedy Intl ( KJFK ),Phoenix Sky Harbor Intl ( KPHX ),Wed 05:33PM EDT,Wed 08:07PM MST
DAL80,A339,Seattle-Tacoma Intl ( KSEA ),Charles de Gaulle/Roissy ( CDG / LFPG ),Wed 04:22PM PDT,Thu 09:16AM CET
DAL806,A21N,John F Kennedy Intl ( KJFK ),Harry Reid Intl ( KLAS ),Wed 05:30PM EDT,Wed 07:52PM PDT
DAL807,A21N,Harry Reid Intl ( KLAS ),John F Kennedy Intl ( KJFK ),Wed 03:57PM PDT,Wed 10:54PM EDT
DAL811,A21N,Miami Intl ( KMIA ),Los Angeles Intl ( KLAX ),Wed 06:45PM EDT,Wed 08:52PM PDT
DAL815,B738,Seattle-Tacoma Intl ( KSEA ),Nashville Intl ( KBNA ),Wed 05:44PM PDT,Wed 11:18PM CDT
DAL82,A339,Hartsfield-Jackson Intl ( KATL ),Charles de Gaulle/Roissy ( CDG / LFPG ),Wed 05:03PM EDT,Thu 05:32AM CET
DAL831,BCS1,Austin-Bergstrom Intl ( KAUS ),Seattle-Tacoma Intl ( KSEA ),Wed 06:19PM CDT,Wed 08:38PM PDT
DAL842,A321,Hartsfield-Jackson Intl ( KATL ),Phoenix Sky Harbor Intl ( KPHX ),Wed 09:54PM EDT,Wed 10:36PM MST
DAL847,B738,Salt Lake City Intl ( KSLC ),Washington Dulles Intl ( KIAD ),Wed 05:58PM MDT,Wed 11:18PM EDT
DAL848,BCS1,Seattle-Tacoma Intl ( KSEA ),Austin-Bergstrom Intl ( KAUS ),Wed 06:00PM PDT,Wed 11:16PM CDT
DAL852,A21N,Detroit Metro Wayne Co ( KDTW ),Los Angeles Intl ( KLAX ),Wed 10:04PM EDT,Wed 11:32PM PDT
DAL858,B739,Los Angeles Intl ( KLAX ),Nashville Intl ( KBNA ),Wed 06:10PM PDT,Wed 11:33PM CDT
DAL86,A332,Detroit Metro Wayne Co ( KDTW ),Frankfurt Int'l ( FRA / EDDF ),Wed 07:04PM EDT,Thu 07:14AM CET
DAL863,A21N,John F Kennedy Intl ( KJFK ),Salt Lake City Intl ( KSLC ),Wed 07:26PM EDT,Wed 10:19PM MDT
DAL867,A21N,Orlando Intl ( KMCO ),Los Angeles Intl ( KLAX ),Wed 08:20PM EDT,Wed 10:15PM PDT
DAL870,BCS1,Seattle-Tacoma Intl ( KSEA ),Dallas-Fort Worth Intl ( KDFW ),Wed 07:21PM PDT,Thu 12:30AM CDT
DAL8783,A359,Hartsfield-Jackson Intl ( KATL ),Salt Lake City Intl ( KSLC ),Wed 08:53PM EDT,Wed 10:23PM MDT
DAL881,A321,Minneapolis/St Paul Intl ( KMSP ),Seattle-Tacoma Intl ( KSEA ),Wed 07:07PM CDT,Wed 08:52PM PDT
DAL883,A21N,Detroit Metro Wayne Co ( KDTW ),Los Angeles Intl ( KLAX ),Wed 08:52PM EDT,Wed 10:26PM PDT
DAL896,A321,Hartsfield-Jackson Intl ( KATL ),San Diego Intl ( KSAN ),Wed 09:32PM EDT,Wed 10:50PM PDT
DAL90,A333,Orlando Intl ( KMCO ),Amsterdam Schiphol ( AMS / EHAM ),Wed 09:56PM EDT,Thu 10:51AM CET
DAL900,A321,Boston Logan Intl ( KBOS ),Hartsfield-Jackson Intl ( KATL ),Wed 10:44PM EDT,Thu 01:23AM EDT
DAL909,B738,Louis Armstrong New Orleans International Airport ( KMSY ),Los Angeles Intl ( KLAX ),Wed 08:48PM CDT,Wed 10:43PM PDT
DAL913,A321,Detroit Metro Wayne Co ( KDTW ),Portland Intl ( KPDX ),Wed 08:24PM EDT,Wed 09:59PM PDT
DAL916,A321,Detroit Metro Wayne Co ( KDTW ),Harry Reid Intl ( KLAS ),Wed 08:29PM EDT,Wed 09:31PM PDT
DAL928,BCS3,Anchorage Intl ( PANC ),Seattle-Tacoma Intl ( KSEA ),Wed 03:53PM AKDT,Wed 07:56PM PDT
DAL936,BCS3,Seattle-Tacoma Intl ( KSEA ),Anchorage Intl ( PANC ),Wed 07:02PM PDT,Wed 09:25PM AKDT
DAL938,B763,Los Angeles Intl ( KLAX ),John F Kennedy Intl ( KJFK ),Wed 05:14PM PDT,Thu 12:43AM EDT
DAL949,B739,Seattle-Tacoma Intl ( KSEA ),Minneapolis/St Paul Intl ( KMSP ),Wed 05:52PM PDT,Wed 10:21PM CDT
DAL9934,A339,Detroit Metro Wayne Co ( KDTW ),Amsterdam Schiphol ( AMS / EHAM ),Wed 10:19PM EDT,Thu 09:38AM CET
DAL1289,A321,Phoenix Sky Harbor Intl ( KPHX ),Minneapolis/St Paul Intl ( KMSP ),Wed 06:54PM MST,Wed 11:31PM CDT
DAL1297,BCS3,Austin-Bergstrom Intl ( KAUS ),Boston Logan Intl ( KBOS ),Wed 07:59PM CDT,Thu 12:16AM EDT
DAL130,B764,Hartsfield-Jackson Intl ( KATL ),Munich Int'l ( MUC / EDDM ),Wed 07:11PM EDT,Thu 09:02AM CET
DAL132,A333,Detroit Metro Wayne Co ( KDTW ),Amsterdam Schiphol ( AMS / EHAM ),Wed 05:32PM EDT,Thu 05:00AM CET
DAL1355,A321,Detroit Metro Wayne Co ( KDTW ),Tampa Intl ( KTPA ),Wed 10:13PM EDT,Thu 12:21AM EDT
DAL136,A333,Detroit Metro Wayne Co ( KDTW ),Amsterdam Schiphol ( AMS / EHAM ),Wed 09:51PM EDT,Thu 09:27AM CET
DAL1365,A319,Detroit Metro Wayne Co ( KDTW ),San Antonio Intl ( KSAT ),Wed 08:29PM EDT,Wed 10:23PM CDT
DAL1370,A320,Orlando Intl ( KMCO ),Raleigh-Durham Intl ( KRDU ),Wed 09:43PM EDT,Wed 10:58PM EDT
DAL1387,A319,Louis Armstrong New Orleans International Airport ( KMSY ),John F Kennedy Intl ( KJFK ),Wed 08:24PM CDT,Wed 11:41PM EDT
DAL14,A332,Hartsfield-Jackson Intl ( KATL ),Frankfurt Int'l ( FRA / EDDF ),Wed 07:17PM EDT,Thu 08:03AM CET
DAL140,B764,Hartsfield-Jackson Intl ( KATL ),Brussels ( BRU / EBBR ),Wed 06:55PM EDT,Thu 07:30AM CET
DAL1409,B739,Salt Lake City Intl ( KSLC ),Raleigh-Durham Intl ( KRDU ),Wed 06:15PM MDT,Wed 11:31PM EDT
DAL1412,BCS1,Yakima Air Terminal ( KYKM ),Seattle-Tacoma Intl ( KSEA ),Wed 07:14PM PDT,Wed 07:49PM PDT
DAL1414,B739,John F Kennedy Intl ( KJFK ),Fort Lauderdale Intl ( KFLL ),Wed 08:46PM EDT,Wed 11:21PM EDT
DAL1419,B738,Fort Lauderdale Intl ( KFLL ),John F Kennedy Intl ( KJFK ),Wed 09:21PM EDT,Wed 11:47PM EDT
DAL142,A339,Seattle-Tacoma Intl ( KSEA ),Amsterdam Schiphol ( AMS / EHAM ),Wed 04:28PM PDT,Thu 09:39AM CET
DAL1428,B739,John F Kennedy Intl ( KJFK ),Miami Intl ( KMIA ),Wed 10:27PM EDT,Thu 01:06AM EDT
DAL1430,BCS1,John Wayne ( KSNA ),Seattle-Tacoma Intl ( KSEA ),Wed 07:44PM PDT,Wed 10:12PM PDT
DAL1439,B738,Tampa Intl ( KTPA ),Boston Logan Intl ( KBOS ),Wed 09:53PM EDT,Thu 12:33AM EDT
DAL1443,B739,Harry Reid Intl ( KLAS ),Minneapolis/St Paul Intl ( KMSP ),Wed 06:57PM PDT,Wed 11:29PM CDT
DAL1448,A321,Minneapolis/St Paul Intl ( KMSP ),Phoenix Sky Harbor Intl ( KPHX ),Wed 08:38PM CDT,Wed 09:22PM MST
DAL1451,B739,Phoenix Sky Harbor Intl ( KPHX ),Salt Lake City Intl ( KSLC ),Wed 07:36PM MST,Wed 09:46PM MDT
DAL1456,BCS3,Dallas-Fort Worth Intl ( KDFW ),Salt Lake City Intl ( KSLC ),Wed 09:00PM CDT,Wed 10:27PM MDT
DAL146,A359,Comodoro Arturo Merino Benitez Int'l ( SCL / SCEL ),Hartsfield-Jackson Intl ( KATL ),Wed 10:34PM -03,Thu 06:11AM EDT
DAL1469,B738,Minneapolis/St Paul Intl ( KMSP ),Cincinnati/Northern Kentucky International Airport ( KCVG ),Wed 09:13PM CDT,Wed 11:27PM EDT
DAL147,A359,Hartsfield-Jackson Intl ( KATL ),Comodoro Arturo Merino Benitez Int'l ( SCL / SCEL ),Wed 10:01PM EDT,Thu 07:41AM -03
DAL1483,A21N,Los Angeles Intl ( KLAX ),Salt Lake City Intl ( KSLC ),Wed 07:31PM PDT,Wed 09:51PM MDT
DAL1507,A21N,Tampa Intl ( KTPA ),John F Kennedy Intl ( KJFK ),Wed 08:45PM EDT,Wed 10:54PM EDT
DAL152,A333,Minneapolis/St Paul Intl ( KMSP ),Charles de Gaulle/Roissy ( CDG / LFPG ),Wed 05:37PM CDT,Thu 06:32AM CET
DAL1521,B739,Harry Reid Intl ( KLAS ),Seattle-Tacoma Intl ( KSEA ),Wed 07:25PM PDT,Wed 09:34PM PDT
DAL1531,B739,Hartsfield-Jackson Intl ( KATL ),Albuquerque Intl Sunport ( KABQ ),Wed 09:29PM EDT,Wed 10:36PM MDT
DAL156,A339,John F Kennedy Intl ( KJFK ),Kotoka Int'l ( ACC / DGAA ),Wed 05:08PM EDT,Thu 06:48AM GMT
DAL1567,B739,San Diego Intl ( KSAN ),Salt Lake City Intl ( KSLC ),Wed 07:37PM PDT,Wed 10:05PM MDT
DAL1574,BCS1,John Wayne ( KSNA ),Salt Lake City Intl ( KSLC ),Wed 07:27PM PDT,Wed 09:50PM MDT
DAL158,A359,Incheon Int'l ( ICN / RKSI ),Detroit Metro Wayne Co ( KDTW ),Thu 09:58AM KST,Thu 09:48AM EDT
DAL159,A359,Detroit Metro Wayne Co ( KDTW ),Incheon Int'l ( ICN / RKSI ),Wed 01:38PM EDT,Thu 04:26PM KST
DAL16,A339,Detroit Metro Wayne Co ( KDTW ),London Heathrow ( LHR / EGLL ),Wed 09:27PM EDT,Thu 07:51AM GMT
DAL160,A333,Minneapolis/St Paul Intl ( KMSP ),Amsterdam Schiphol ( AMS / EHAM ),Wed 05:02PM CDT,Thu 06:11AM CET
DAL162,A339,Minneapolis/St Paul Intl ( KMSP ),Amsterdam Schiphol ( AMS / EHAM ),Wed 07:11PM CDT,Thu 08:11AM CET
DAL1633,A320,Detroit Metro Wayne Co ( KDTW ),Houston Bush Int'ctl ( KIAH ),Wed 09:44PM EDT,Wed 11:28PM CDT
DAL1634,B763,Kahului ( OGG / PHOG ),Los Angeles Intl ( KLAX ),Wed 01:32PM HST,Wed 09:13PM PDT
DAL1636,B739,John F Kennedy Intl ( KJFK ),Tampa Intl ( KTPA ),Wed 08:44PM EDT,Wed 11:24PM EDT
DAL1638,B738,Palm Beach Intl ( KPBI ),John F Kennedy Intl ( KJFK ),Wed 09:27PM EDT,Wed 11:49PM EDT
DAL1649,B738,Boston Logan Intl ( KBOS ),Miami Intl ( KMIA ),Wed 09:27PM EDT,Thu 12:16AM EDT
DAL1654,A321,Orlando Intl ( KMCO ),John F Kennedy Intl ( KJFK ),Wed 09:37PM EDT,Wed 11:53PM EDT
DAL1655,A21N,Boston Logan Intl ( KBOS ),San Francisco Int'l ( KSFO ),Wed 05:39PM EDT,Wed 09:07PM PDT
DAL1657,B712,Minneapolis/St Paul Intl ( KMSP ),Kansas City Intl ( KMCI ),Wed 09:39PM CDT,Wed 10:40PM CDT
DAL167,A359,Seattle-Tacoma Intl ( KSEA ),Tokyo Int'l (Haneda) ( HND / RJTT ),Wed 11:56AM PDT,Thu 01:33PM JST
DAL1671,A319,Southwest Florida Intl ( KRSW ),John F Kennedy Intl ( KJFK ),Wed 09:05PM EDT,Wed 11:28PM EDT
DAL1677,BCS3,Boston Logan Intl ( KBOS ),Austin-Bergstrom Intl ( KAUS ),Wed 09:20PM EDT,Thu 12:56AM CDT
DAL168,A339,John F Kennedy Intl ( KJFK ),Barcelona Int'l ( BCN / LEBL ),Wed 07:07PM EDT,Thu 06:43AM CET
DAL1683,A321,Minneapolis/St Paul Intl ( KMSP ),Fort Lauderdale Intl ( KFLL ),Wed 07:49PM CDT,Wed 11:55PM EDT
DAL1689,A319,Detroit Metro Wayne Co ( KDTW ),Syracuse Hancock Intl ( KSYR ),Wed 10:06PM EDT,Wed 10:51PM EDT
DAL1690,A319,Harry Reid Intl ( KLAS ),Salt Lake City Intl ( KSLC ),Wed 07:07PM PDT,Wed 09:00PM MDT
DAL1691,A21N,Orlando Intl ( KMCO ),Salt Lake City Intl ( KSLC ),Wed 07:19PM EDT,Wed 09:46PM MDT
DAL1703,BCS3,Dallas-Fort Worth Intl ( KDFW ),LaGuardia ( KLGA ),Wed 08:01PM CDT,Wed 11:45PM EDT
DAL171,A359,Minneapolis/St Paul Intl ( KMSP ),Incheon Int'l ( ICN / RKSI ),Wed 12:16PM CDT,Thu 03:14PM KST
DAL1713,B738,Hartsfield-Jackson Intl ( KATL ),El Paso Intl ( KELP ),Wed 08:06PM EDT,Wed 08:54PM MDT
DAL174,B764,Hartsfield-Jackson Intl ( KATL ),Malpensa Int'l ( MXP / LIMC ),Wed 05:58PM EDT,Thu 07:27AM CET
DAL1740,A321,John F Kennedy Intl ( KJFK ),Orlando Intl ( KMCO ),Wed 08:26PM EDT,Wed 10:50PM EDT
