ident,type,origin,destination,departure,estimated_arrival_time
DAL2296,A321,Detroit Metro Wayne Co ( KDTW ),Fort Lauderdale Intl ( KFLL ),Wed 09:11PM EDT,Wed 11:49PM EDT
DAL2297,B753,Minneapolis/St Paul Intl ( KMSP ),Phoenix Sky Harbor Intl ( KPHX ),Wed 07:09PM CDT,Wed 07:57PM MST
DAL230,A339,John F Kennedy Intl ( KJFK ),Leonardo da Vinci Int'l (Fiumicino Int'l) ( FCO / LIRF ),Wed 08:09PM EDT,Thu 08:35AM CET
DAL2306,B712,Hartsfield-Jackson Intl ( KATL ),Des Moines Intl ( KDSM ),Wed 09:46PM EDT,Wed 10:27PM CDT
DAL2308,A321,LaGuardia ( KLGA ),Fort Lauderdale Intl ( KFLL ),Wed 09:28PM EDT,Thu 12:04AM EDT
DAL2309,A321,Minneapolis/St Paul Intl ( KMSP ),Orlando Intl ( KMCO ),Wed 08:30PM CDT,Thu 12:18AM EDT
DAL2310,B738,Southwest Florida Intl ( KRSW ),LaGuardia ( KLGA ),Wed 08:51PM EDT,Wed 11:35PM EDT
DAL2323,A21N,Austin-Bergstrom Intl ( KAUS ),John F Kennedy Intl ( KJFK ),Wed 07:32PM CDT,Thu 12:00AM EDT
DAL2324,B752,Detroit Metro Wayne Co ( KDTW ),Southwest Florida Intl ( KRSW ),Wed 09:28PM EDT,Thu 12:00AM EDT
DAL2334,B738,Hartsfield-Jackson Intl ( KATL ),Buffalo Niagara Intl ( KBUF ),Wed 10:33PM EDT,Thu 12:12AM EDT
DAL236,A333,Tampa Intl ( KTPA ),Amsterdam Schiphol ( AMS / EHAM ),Wed 09:11PM EDT,Thu 10:25AM CET
DAL2377,B739,Chicago O'Hare Intl ( KORD ),Salt Lake City Intl ( KSLC ),Wed 08:23PM CDT,Wed 10:24PM MDT
DAL2385,A321,Minneapolis/St Paul Intl ( KMSP ),Tampa Intl ( KTPA ),Wed 07:48PM CDT,Wed 11:42PM EDT
DAL2402,B712,Detroit Metro Wayne Co ( KDTW ),Philadelphia Intl ( KPHL ),Wed 09:45PM EDT,Wed 11:24PM EDT
DAL2404,B739,Tampa Intl ( KTPA ),LaGuardia ( KLGA ),Wed 08:59PM EDT,Wed 11:08PM EDT
DAL2410,A321,LaGuardia ( KLGA ),Palm Beach Intl ( KPBI ),Wed 09:02PM EDT,Wed 11:35PM EDT
DAL2416,A319,Hartsfield-Jackson Intl ( KATL ),Montreal-Trudeau ( CYUL ),Wed 09:24PM EDT,Wed 11:21PM EDT
DAL2418,B739,Minneapolis/St Paul Intl ( KMSP ),Spokane Intl ( KGEG ),Wed 08:32PM CDT,Wed 09:26PM PDT
DAL2422,B738,Hartsfield-Jackson Intl ( KATL ),Toronto Pearson Int'l ( CYYZ ),Wed 09:57PM EDT,Wed 11:47PM EDT
DAL2423,A320,Hartsfield-Jackson Intl ( KATL ),OKC Will Rogers Intl ( KOKC ),Wed 10:46PM EDT,Wed 11:30PM CDT
DAL2424,A319,Detroit Metro Wayne Co ( KDTW ),Cherry Capital ( KTVC ),Wed 10:32PM EDT,Wed 11:06PM EDT
DAL2435,A319,Hartsfield-Jackson Intl ( KATL ),Melbourne Orlando Intl ( KMLB ),Wed 10:06PM EDT,Wed 11:05PM EDT
DAL2442,B738,Phoenix Sky Harbor Intl ( KPHX ),Seattle-Tacoma Intl ( KSEA ),Wed 05:33PM MST,Wed 08:18PM PDT
DAL2464,A321,Boston Logan Intl ( KBOS ),Hartsfield-Jackson Intl ( KATL ),Wed 08:41PM EDT,Wed 11:15PM EDT
DAL2472,A320,Hartsfield-Jackson Intl ( KATL ),Frederick Douglass/Greater Rochester Intl ( KROC ),Wed 10:05PM EDT,Wed 11:36PM EDT
DAL2488,A320,Minneapolis/St Paul Intl ( KMSP ),Gowen Field ( KBOI ),Wed 07:07PM CDT,Wed 08:59PM MDT
DAL2500,B739,Miami Intl ( KMIA ),John F Kennedy Intl ( KJFK ),Wed 09:45PM EDT,Wed 11:59PM EDT
DAL2514,BCS1,Salt Lake City Intl ( KSLC ),Houston Bush Int'ctl ( KIAH ),Wed 07:44PM MDT,Wed 11:02PM CDT
DAL2527,B739,Hartsfield-Jackson Intl ( KATL ),Newark Liberty Intl ( KEWR ),Wed 09:55PM EDT,Wed 11:40PM EDT
DAL2540,A321,LaGuardia ( KLGA ),Orlando Intl ( KMCO ),Wed 08:26PM EDT,Wed 10:52PM EDT
DAL2551,A319,Portland Intl ( KPDX ),Los Angeles Intl ( KLAX ),Wed 07:43PM PDT,Wed 09:31PM PDT
DAL256,A339,Boston Logan Intl ( KBOS ),Amsterdam Schiphol ( AMS / EHAM ),Wed 09:12PM EDT,Thu 08:43AM CET
DAL2578,A319,Detroit Metro Wayne Co ( KDTW ),Austin-Bergstrom Intl ( KAUS ),Wed 08:51PM EDT,Wed 10:46PM CDT
DAL2581,BCS1,Austin-Bergstrom Intl ( KAUS ),Salt Lake City Intl ( KSLC ),Wed 08:19PM CDT,Wed 09:52PM MDT
DAL2584,A320,Hartsfield-Jackson Intl ( KATL ),Albany Intl ( KALB ),Wed 10:07PM EDT,Wed 11:50PM EDT
DAL2610,BCS1,Minneapolis/St Paul Intl ( KMSP ),Missoula Montana ( KMSO ),Wed 08:55PM CDT,Wed 10:22PM MDT
DAL2613,A319,San Diego Intl ( KSAN ),Seattle-Tacoma Intl ( KSEA ),Wed 07:44PM PDT,Wed 10:07PM PDT
DAL2614,A321,Minneapolis/St Paul Intl ( KMSP ),Boston Logan Intl ( KBOS ),Wed 09:08PM CDT,Thu 12:16AM EDT
DAL2615,A319,Hartsfield-Jackson Intl ( KATL ),Joe Foss Fld ( KFSD ),Wed 08:38PM EDT,Wed 09:52PM CDT
DAL2617,BCS1,Houston Bush Int'ctl ( KIAH ),Minneapolis/St Paul Intl ( KMSP ),Wed 08:53PM CDT,Wed 11:10PM CDT
DAL262,A339,John F Kennedy Intl ( KJFK ),Charles de Gaulle/Roissy ( CDG / LFPG ),Wed 09:09PM EDT,Thu 08:23AM CET
DAL2626,B738,Hartsfield-Jackson Intl ( KATL ),The Eastern Iowa ( KCID ),Wed 09:48PM EDT,Wed 10:27PM CDT
DAL2640,B738,Los Angeles Intl ( KLAX ),Seattle-Tacoma Intl ( KSEA ),Wed 07:24PM PDT,Wed 09:34PM PDT
DAL2644,BCS1,Minneapolis/St Paul Intl ( KMSP ),Houston Bush Int'ctl ( KIAH ),Wed 07:15PM CDT,Wed 09:54PM CDT
DAL2666,A319,Salt Lake City Intl ( KSLC ),St Louis Lambert Intl ( KSTL ),Wed 08:47PM MDT,Wed 11:55PM CDT
DAL2683,A320,Minneapolis/St Paul Intl ( KMSP ),Houston Bush Int'ctl ( KIAH ),Wed 09:08PM CDT,Wed 11:22PM CDT
DAL2686,A319,Los Angeles Intl ( KLAX ),San Antonio Intl ( KSAT ),Wed 06:53PM PDT,Wed 11:50PM CDT
DAL2703,B739,Minneapolis/St Paul Intl ( KMSP ),Philadelphia Intl ( KPHL ),Wed 09:17PM CDT,Thu 12:52AM EDT
DAL2715,A320,Detroit Metro Wayne Co ( KDTW ),Baltimore/Washington Intl ( KBWI ),Wed 10:07PM EDT,Wed 11:08PM EDT
DAL272,B763,John F Kennedy Intl ( KJFK ),General Humberto Delgado Airport ( LIS / LPPT ),Wed 10:06PM EDT,Thu 08:24AM WET
DAL2736,A319,Austin-Bergstrom Intl ( KAUS ),Detroit Metro Wayne Co ( KDTW ),Wed 09:41PM CDT,Thu 12:59AM EDT
DAL2749,A319,Minneapolis/St Paul Intl ( KMSP ),Austin-Bergstrom Intl ( KAUS ),Wed 08:17PM CDT,Wed 10:33PM CDT
DAL275,A359,Detroit Metro Wayne Co ( KDTW ),Tokyo Int'l (Haneda) ( HND / RJTT ),Wed 03:20PM EDT,Thu 04:49PM JST
DAL2762,BCS1,San Francisco Int'l ( KSFO ),Salt Lake City Intl ( KSLC ),Wed 07:19PM PDT,Wed 09:35PM MDT
DAL279,B764,Hartsfield-Jackson Intl ( KATL ),Ministro Pistarini Int'l ( EZE / SAEZ ),Wed 08:56PM EDT,Thu 07:26AM -03
DAL28,B763,Rio de Janeiro/Galeao Intl ( GIG / SBGL ),John F Kennedy Intl ( KJFK ),Wed 11:12PM -03,Thu 07:50AM EDT
DAL281,A339,Seattle-Tacoma Intl ( KSEA ),Shanghai Pudong Int'l ( PVG / ZSPD ),Wed 12:08PM PDT,Thu 03:01PM CST
DAL2839,B739,Detroit Metro Wayne Co ( KDTW ),Raleigh-Durham Intl ( KRDU ),Wed 10:05PM EDT,Wed 11:15PM EDT
DAL1133,B753,Orlando Intl ( KMCO ),Detroit Metro Wayne Co ( KDTW ),Wed 08:48PM EDT,Wed 10:57PM EDT
DAL1139,B739,Hartsfield-Jackson Intl ( KATL ),Chicago O'Hare Intl ( KORD ),Wed 08:59PM EDT,Wed 09:49PM CDT
DAL114,A339,Ministro Pistarini Int'l ( EZE / SAEZ ),John F Kennedy Intl ( KJFK ),Wed 10:39PM -03,Thu 07:48AM EDT
DAL1144,B739,Minneapolis/St Paul Intl ( KMSP ),Nashville Intl ( KBNA ),Wed 08:52PM CDT,Wed 10:29PM CDT
DAL115,A339,John F Kennedy Intl ( KJFK ),Ministro Pistarini Int'l ( EZE / SAEZ ),Wed 10:45PM EDT,Thu 09:56AM -03
DAL1186,B753,Minneapolis/St Paul Intl ( KMSP ),Southwest Florida Intl ( KRSW ),Wed 07:23PM CDT,Wed 11:29PM EDT
DAL1207,A321,Detroit Metro Wayne Co ( KDTW ),Dallas-Fort Worth Intl ( KDFW ),Wed 09:37PM EDT,Wed 11:13PM CDT
DAL121,A359,Minneapolis/St Paul Intl ( KMSP ),Tokyo Int'l (Haneda) ( HND / RJTT ),Wed 02:31PM CDT,Thu 04:08PM JST
DAL1224,A320,Detroit Metro Wayne Co ( KDTW ),Pittsburgh Intl ( KPIT ),Wed 10:17PM EDT,Wed 10:51PM EDT
DAL1229,A321,Hartsfield-Jackson Intl ( KATL ),Fort Lauderdale Intl ( KFLL ),Wed 10:49PM EDT,Thu 12:09AM EDT
DAL1232,B752,Hartsfield-Jackson Intl ( KATL ),Detroit Metro Wayne Co ( KDTW ),Wed 09:49PM EDT,Wed 11:07PM EDT
DAL1233,B739,John F Kennedy Intl ( KJFK ),Austin-Bergstrom Intl ( KAUS ),Wed 06:47PM EDT,Wed 09:50PM CDT
DAL1238,BCS3,Portland Intl ( KPDX ),Salt Lake City Intl ( KSLC ),Wed 07:32PM PDT,Wed 09:47PM MDT
DAL124,B763,Boston Logan Intl ( KBOS ),General Humberto Delgado Airport ( LIS / LPPT ),Wed 10:38PM EDT,Thu 08:23AM WET
